ags,name,population,catholic,evangelical,other_none_unstated
08326061,Tuningen,2968,756,983,1232
08326065,Unterkirnach,2511,972,421,1118
08326068,"Vöhrenbach, Stadt",3621,2208,341,1072
08326074,"Villingen-Schwenningen, Stadt",87478,27627,18982,40867
08326075,Brigachtal,4976,2343,894,1735
08327002,Aldingen,7660,2459,2099,3105
08327004,Bärenthal,489,352,27,111
08327005,Balgheim,1286,594,239,455
08327006,Böttingen,1432,962,123,346
08327007,Bubsheim,1430,707,233,491
08327008,Buchheim,731,550,49,130
08327009,Deilingen,1848,1089,156,604
08327010,Denkingen,2928,1400,563,964
08327011,Dürbheim,1719,968,220,528
08327012,Durchhausen,1033,447,200,388
08327013,Egesheim,650,400,82,175
08327016,"Fridingen an der Donau, Stadt",3154,1736,441,979
08327017,Frittlingen,2111,1051,301,755
08327018,"Geisingen, Stadt",6296,3261,1046,1989
08327019,Gosheim,3786,1944,689,1155
08327020,Gunningen,773,383,154,232
08327023,Hausen ob Verena,801,198,353,248
08327025,Immendingen,6364,2752,1024,2587
08327027,Irndorf,694,483,61,149
08327029,Königsheim,595,397,64,131
08327030,Kolbingen,1246,842,125,278
08327033,Mahlstetten,830,539,64,224
08327036,"Mühlheim an der Donau, Stadt",3671,1936,741,994
08327038,Neuhausen ob Eck,3987,1609,1080,1297
08327040,Reichenbach am Heuberg,461,244,77,141
08327041,Renquishausen,760,596,57,107
08327046,"Spaichingen, Stadt",13425,5597,2312,5517
08327048,Talheim,1274,315,607,354
08327049,"Trossingen, Stadt",17085,3538,4764,8783
08327050,"Tuttlingen, Stadt",36665,10551,6994,19123
08327051,Wehingen,3644,1743,553,1345
08327054,Wurmlingen,3908,1836,848,1223
08327055,Seitingen-Oberflacht,2572,1265,471,829
08327056,Rietheim-Weilheim,2873,1119,792,957
08327057,Emmingen-Liptingen,4714,2243,881,1588
08335001,"Aach, Stadt",2285,944,353,984
08335002,Allensbach,7228,2759,1262,3206
08335015,Büsingen am Hochrhein,1384,213,324,847
08335021,Eigeltingen,3835,1842,513,1482
08335022,"Engen, Stadt",11029,5062,1500,4464
08335025,Gaienhofen,3292,1193,616,1484
08335026,Gailingen am Hochrhein,2866,1000,373,1490
08335028,Gottmadingen,10708,4163,1689,4858
08335035,Hilzingen,8981,3980,1292,3706
08335043,"Konstanz, Universitätsstadt",86437,26801,16425,43206
08335055,Moos,3410,1398,520,1498
08335057,Mühlingen,2676,1279,345,1054
08335061,Öhningen,3589,1517,571,1498
08335063,"Radolfzell am Bodensee, Stadt",30742,10916,5088,14740
08335066,Reichenau,5270,2438,709,2125
08335075,"Singen (Hohentwiel), Stadt",46789,16623,6261,23904
08335077,Steißlingen,4957,2393,737,1829
08335079,"Stockach, Stadt",17412,7198,2825,7393
08335080,"Tengen, Stadt",4756,2517,487,1750
08335081,Volkertshausen,3252,1394,457,1402
08335096,Hohenfels,2220,1126,239,847
08335097,Mühlhausen-Ehingen,3945,1805,535,1605
08335098,Bodman-Ludwigshafen,4742,1920,743,2079
08335099,Orsingen-Nenzingen,3470,1810,414,1250
08335100,Rielasingen-Worblingen,12176,5098,1774,5305
08336004,Aitern,500,340,67,95
08336006,Bad Bellingen,4868,1319,1142,2408
08336008,Binzen,2993,512,1056,1421
08336010,Böllen,99,57,23,17
08336014,Efringen-Kirchen,8598,1640,3358,3605
08336019,Eimeldingen,2459,430,794,1236
08336024,Fischingen,769,94,274,408
08336025,Fröhnd,480,350,53,75
08336034,Hasel,1162,235,499,426
08336036,Hausen im Wiesental,2311,662,624,1024
08336043,Inzlingen,2595,790,553,1253
08336045,"Kandern, Stadt",8656,1145,3683,3828
08336050,"Lörrach, Stadt",49541,10669,11887,26985
08336057,Maulburg,4287,861,1283,2139
08336069,"Rheinfelden (Baden), Stadt",34438,10430,6830,17178
08336073,Rümmingen,1937,391,582,969
08336075,Schallbach,839,101,408,330
08336078,Schliengen,5830,1618,1765,2450
08336079,"Schönau im Schwarzwald, Stadt",2409,1060,333,1019
08336080,Schönenberg,336,243,31,68
08336081,"Schopfheim, Stadt",20083,4020,6155,9908
08336082,Schwörstadt,2580,835,590,1155
08336084,Steinen,10422,1795,3533,5094
08336087,"Todtnau, Stadt",4928,2818,526,1582
08336089,Tunau,185,120,20,41
08336090,Utzenfeld,600,371,74,155
08336091,"Weil am Rhein, Stadt",31476,6116,7524,17836
08336094,Wembach,332,178,42,114
08336096,Wieden,540,431,16,89
08336100,Wittlingen,924,124,347,453
08336103,"Zell im Wiesental, Stadt",6206,2435,1205,2565
08336104,Malsburg-Marzell,1471,147,768,552
08336105,Grenzach-Wyhlen,15260,3704,3356,8200
08336106,Häg-Ehrsberg,830,583,108,136
08336107,Kleines Wiesental,3005,351,1560,1094
08337002,Albbruck,7305,3851,1025,2431
08337013,Bernau im Schwarzwald,1846,1166,198,479
08337022,"Bonndorf im Schwarzwald, Stadt",6857,3584,974,2299
08337027,Dachsberg (Südschwarzwald),1365,736,139,492
08337030,Dettighofen,1076,436,136,500
08337032,Dogern,2255,1206,357,687
08337038,Görwihl,4235,2548,406,1283
08337039,Grafenhausen,2257,1405,288,564
08337045,Häusern,1327,613,170,542
08337049,Herrischried,2633,1203,353,1074
08337051,Höchenschwand,2572,1215,399,956
08337053,Hohentengen am Hochrhein,3715,1573,479,1661
08337059,Ibach,317,195,31,93
08337060,Jestetten,5202,1679,806,2720
08337062,Klettgau,7496,3684,951,2859
08337065,Lauchringen,8045,3029,1267,3744
08337066,"Laufenburg (Baden), Stadt",9210,3915,1203,4091
08337070,Lottstetten,2226,755,257,1214
08337076,Murg,6813,3180,825,2810
08337090,Rickenbach,3783,1910,478,1393
08337096,"Bad Säckingen, Stadt",17717,6555,2956,8211
08337097,"St  Blasien, Stadt",3664,1558,567,1538
08337106,"Stühlingen, Stadt",5339,3059,536,1743
08337108,Todtmoos,1918,820,289,810
08337116,"Wehr, Stadt",13036,5042,2387,5611
08337118,Weilheim,3105,1900,351,854
08337123,Wutöschingen,6679,2991,1100,2589
08337124,Eggingen,1752,999,191,560
08337125,Küssaberg,5486,2175,926,2381
08337126,"Waldshut-Tiengen, Stadt",24470,9214,3793,11462
08337127,Wutach,1196,872,68,256
08337128,Ühlingen-Birkendorf,5203,2938,648,1613
08415014,Dettingen an der Erms,9674,1489,4249,3941
08415019,Eningen unter Achalm,11420,1957,3893,5571
08415027,Gomadingen,2085,290,1158,635
08415028,Grabenstetten,1696,180,991,525
08415029,Grafenberg,2695,445,1212,1041
08415034,"Hayingen, Stadt",2151,1318,373,459
08415039,Hülben,3015,253,1763,1000
08415048,Mehrstetten,1443,217,850,375
08415050,"Metzingen, Stadt",22937,4406,8267,10262
08415053,"Münsingen, Stadt",14564,3050,6617,4896
08415058,Pfronstetten,1506,1051,207,251
08415059,"Pfullingen, Stadt",19227,3412,6890,8925
08415060,Pliezhausen,9885,1358,4267,4255
08415061,"Reutlingen, Stadt",116925,22672,35670,58584
08415062,Riederich,4281,892,1643,1747
08415073,"Trochtelfingen, Stadt",6236,2577,2021,1639
08415078,"Bad Urach, Stadt",12726,2424,4509,5795
08415080,Wannweil,5260,903,1981,2376
08415085,Zwiefalten,2308,1395,351,564
08415087,Walddorfhäslach,5362,722,2627,2013
08415088,Römerstein,4037,369,2764,906
08415089,Engstingen,5156,1493,2001,1666
08415090,Hohenstein,3784,1227,1551,1006
08415091,Sonnenbühl,7053,849,4222,1986
08415092,Lichtenstein,9096,1504,3658,3935
08415093,St  Johann,5132,490,3029,1613
08416006,Bodelshausen,5698,1277,1951,2470
08416009,Dettenhausen,5404,942,2170,2295
08416011,Dußlingen,6087,949,2290,2854
08416015,Gomaringen,9054,1287,4093,3675
08416018,Hirrlingen,3129,1795,403,932
08416022,Kirchentellinsfurt,5508,993,2166,2349
08416023,Kusterdingen,8636,1268,3727,3639
08416025,"Mössingen, Stadt",21593,3488,9434,8671
08416026,Nehren,4436,749,1843,1843
08416031,Ofterdingen,5317,913,2163,2239
08416036,"Rottenburg am Neckar, Stadt",44954,18935,8426,17594
08416041,"Tübingen, Universitätsstadt",90499,18035,27871,44595
08416048,Ammerbuch,11329,2283,4282,4767
08416049,Neustetten,3699,871,1583,1243
08416050,Starzach,4299,2196,699,1403
08417002,"Balingen, Stadt",35190,8566,13131,13497
08417008,Bisingen,9543,3958,1954,3627
08417010,Bitz,3815,895,1753,1166
08417013,"Burladingen, Stadt",12056,6989,1694,3372
08417014,Dautmergen,448,240,75,131
08417015,Dormettingen,1086,527,202,354
08417016,Dotternhausen,1845,854,384,610
08417022,"Geislingen, Stadt",5873,3379,1049,1447
08417023,Grosselfingen,2161,1096,405,661
08417025,"Haigerloch, Stadt",10842,5744,1555,3545
08417029,Hausen am Tann,509,251,77,179
08417031,"Hechingen, Stadt",19514,7610,3763,8141
08417036,Jungingen,1361,642,242,476
08417044,"Meßstetten, Stadt",11072,3726,3789,3559
08417045,Nusplingen,1895,1248,181,464
08417047,Obernheim,1516,846,201,470
08417051,Rangendingen,5281,2888,895,1500
08417052,Ratshausen,743,459,90,192
08417054,"Rosenfeld, Stadt",6407,1503,2899,2007
08417057,"Schömberg, Stadt",4647,2302,629,1715
08417063,Straßberg,2465,1189,640,637
08417071,Weilen unter den Rinnen,605,373,55,175
08417075,Winterlingen,6339,2601,1964,1771
08417078,Zimmern unter der Burg,446,307,51,92
08417079,"Albstadt, Stadt",46134,12507,15440,18186
08421000,"Ulm, Universitätsstadt",127116,35835,25361,65922
08425002,Allmendingen,4867,2589,1033,1244
08425004,Altheim,593,390,84,117
08425005,Altheim (Alb),1692,221,975,499
08425008,Amstetten,4128,771,1798,1559
08425011,Asselfingen,1004,174,541,288
08425013,Ballendorf,663,74,468,125
08425014,Beimerstetten,2383,548,889,947
08425017,Berghülen,1956,290,1049,616
08425019,Bernstadt,2258,446,1034,777
08425020,"Blaubeuren, Stadt",12496,2526,4541,5426
08425022,Börslingen,170,19,122,28
08425024,Breitingen,363,56,161,144
08425028,"Dietenheim, Stadt",6781,3116,969,2700
08425031,Dornstadt,8991,3333,2353,3307
08425033,"Ehingen (Donau), Stadt",27241,13769,3747,9726
08425035,Emeringen,157,97,23,32
08425036,Emerkingen,822,569,74,180
08425039,"Erbach, Stadt",13928,6415,2382,5133
08425050,Griesingen,1012,700,102,219
08425052,Grundsheim,217,171,14,32
08425055,Hausen am Bussen,278,164,48,67
08425062,Holzkirch,270,40,170,59
08425064,Hüttisheim,1469,899,159,410
08425066,Illerrieden,3354,1852,431,1071
08425071,"Laichingen, Stadt",11955,2047,5079,4831
08425072,"Langenau, Stadt",15005,3413,5832,5760
08425073,Lauterach,567,353,89,125
08425075,Lonsee,5039,1082,2101,1852
08425079,Merklingen,2010,305,1147,556
08425081,"Munderkingen, Stadt",5403,2670,790,1941
08425083,Neenstetten,835,94,543,201
08425084,Nellingen,1988,283,1185,522
08425085,Nerenstetten,356,47,218,91
08425088,Oberdischingen,2212,1259,233,720
08425090,Obermarchtal,1329,899,121,308
08425091,Oberstadion,1554,1084,151,319
08425092,Öllingen,549,87,294,164
08425093,Öpfingen,2298,1261,316,727
08425097,Rammingen,1274,628,256,387
08425098,Rechtenstein,293,186,45,63
08425104,Rottenacker,2198,756,880,559
08425108,"Schelklingen, Stadt",6644,3049,1063,2528
08425110,Schnürpflingen,1398,831,137,430
08425112,Setzingen,709,105,403,201
08425123,Untermarchtal,881,600,87,195
08425124,Unterstadion,794,564,76,154
08425125,Unterwachingen,192,144,29,18
08425130,Weidenstetten,1366,217,701,450
08425134,Westerheim,3016,1661,664,690
08425135,Westerstetten,2205,907,523,776
08425137,Illerkirchberg,4865,2182,725,1962
08425138,Staig,3266,1720,499,1050
08425139,Heroldstatt,2819,674,1293,847
08425140,Balzheim,2130,587,800,743
