Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08126056";"Mulfingen";"7,7"
"08315074";"Müllheim im Markgräflerland, Stadt";"17,4"
"08118053";"Mundelsheim";"14,6"
"08425081";"Munderkingen, Stadt";"26,2"
"08415053";"Münsingen, Stadt";"12,4"
"08415971";"Münsingen, Gutsbezirk, Gemeindefreies Gebiet";"-"
"08315130";"Münstertal/Schwarzwald";"11,0"
"08337076";"Murg";"18,6"
"08118054";"Murr";"16,2"
"08119044";"Murrhardt, Stadt";"19,1"
"08136044";"Mutlangen";"11,3"
"08235046";"Nagold, Stadt";"19,8"
"08135026";"Nattheim";"8,8"
"08226055";"Neckarbischofsheim, Stadt";"15,6"
"08226056";"Neckargemünd, Stadt";"13,0"
"08225064";"Neckargerach";"9,8"
"08125065";"Neckarsulm, Stadt";"24,5"
"08116041";"Neckartailfingen";"12,7"
"08116042";"Neckartenzlingen";"23,0"
"08125066";"Neckarwestheim";"13,6"
"08225067";"Neckarzimmern";"15,5"
"08425083";"Neenstetten";"8,5"
"08416026";"Nehren";"11,3"
"08226058";"Neidenstein";"7,6"
"08116043";"Neidlingen";"10,5"
"08425084";"Nellingen";"9,1"
"08425085";"Nerenstetten";"3,7"
"08136045";"Neresheim, Stadt";"10,0"
"08235047";"Neubulach, Stadt";"9,0"
"08125068";"Neudenau, Stadt";"15,8"
"08315076";"Neuenburg am Rhein, Stadt";"16,2"
"08236043";"Neuenbürg, Stadt";"21,4"
"08125069";"Neuenstadt am Kocher, Stadt";"13,8"
"08126058";"Neuenstein, Stadt";"10,4"
"08116046";"Neuffen, Stadt";"13,7"
"08437082";"Neufra";"7,4"
"08236044";"Neuhausen";"8,3"
"08116047";"Neuhausen auf den Fildern";"14,2"
"08327038";"Neuhausen ob Eck";"13,1"
"08435042";"Neukirch";"7,8"
"08136046";"Neuler";"2,7"
"08236073";"Neulingen";"10,1"
"08226059";"Neulußheim";"15,2"
"08225068";"Neunkirchen";"7,8"
"08317151";"Neuried";"10,0"
"08416049";"Neustetten";"10,7"
"08235050";"Neuweiler";"5,7"
"08326041";"Niedereschach";"9,9"
"08126060";"Niedernhall, Stadt";"16,6"
"08128082";"Niederstetten, Stadt";"9,0"
"08135027";"Niederstotzingen, Stadt";"12,0"
"08236046";"Niefern-Öschelbronn";"18,4"
"08125074";"Nordheim";"13,2"
"08317085";"Nordrach";"15,7"
"08116048";"Notzingen";"9,4"
"08115037";"Nufringen";"13,5"
"08116049";"Nürtingen, Stadt";"20,9"
"08417045";"Nusplingen";"14,2"
"08226060";"Nußloch";"13,1"
"08116050";"Oberboihingen";"16,4"
"08215059";"Oberderdingen";"18,9"
"08425088";"Oberdischingen";"14,0"
"08136049";"Obergröningen";"1,4"
"08317088";"Oberharmersbach";"7,7"
"08215107";"Oberhausen-Rheinhausen";"11,6"
"08317089";"Oberkirch, Stadt";"12,0"
"08136050";"Oberkochen, Stadt";"18,4"
"08425090";"Obermarchtal";"7,8"
"08325045";"Oberndorf am Neckar, Stadt";"20,2"
"08417047";"Obernheim";"9,9"
"08235055";"Oberreichenbach";"5,7"
"08315084";"Oberried";"10,1"
"08118059";"Oberriexingen, Stadt";"10,9"
"08127062";"Oberrot";"13,9"
"08127063";"Obersontheim";"11,8"
"08425091";"Oberstadion";"9,5"
"08118060";"Oberstenfeld";"15,3"
"08125110";"Obersulm";"13,2"
"08435045";"Oberteuringen";"11,0"
"08317093";"Oberwolfach";"5,4"
"08225074";"Obrigheim";"13,9"
"08426087";"Ochsenhausen, Stadt";"15,8"
"08125078";"Oedheim";"14,2"
"08125079";"Offenau";"18,7"
"08317096";"Offenburg, Stadt";"17,7"
"08416031";"Ofterdingen";"13,7"
"08226062";"Oftersheim";"13,5"
"08426090";"Oggelshausen";"5,3"
"08317097";"Ohlsbach";"8,2"
"08116053";"Ohmden";"8,1"
"08335061";"Öhningen";"11,1"
"08126066";"Öhringen, Stadt";"16,7"
"08236075";"Ölbronn-Dürrn";"10,8"
"08425092";"Öllingen";"10,5"
"08425093";"Öpfingen";"13,3"
"08317098";"Oppenau, Stadt";"15,3"
"08119053";"Oppenweiler";"15,7"
"08335099";"Orsingen-Nenzingen";"10,6"
"08317100";"Ortenberg";"8,8"
"08235057";"Ostelsheim";"12,9"
"08225075";"Osterburken, Stadt";"13,4"
"08116080";"Ostfildern, Stadt";"19,4"
"08437086";"Ostrach";"8,9"
"08215064";"Östringen, Stadt";"15,6"
"08216039";"Ötigheim";"9,9"
"08236050";"Ötisheim";"14,2"
"08117037";"Ottenbach";"6,3"
"08317102";"Ottenhöfen im Schwarzwald";"13,0"
"08216041";"Ottersweier";"11,3"
"08116054";"Owen, Stadt";"14,1"
"08435047";"Owingen";"11,1"
"08125081";"Pfaffenhofen";"18,1"
"08315089";"Pfaffenweiler";"8,2"
"08237054";"Pfalzgrafenweiler";"16,2"
"08126069";"Pfedelbach";"9,3"
"08215101";"Pfinztal";"16,2"
"08231000";"Pforzheim, Stadt";"31,5"
"08415058";"Pfronstetten";"7,3"
"08437088";"Pfullendorf, Stadt";"16,3"
"08415059";"Pfullingen, Stadt";"19,9"
"08215066";"Philippsburg, Stadt";"23,5"
"08226063";"Plankstadt";"13,1"
"08118063";"Pleidelsheim";"21,3"
"08415060";"Pliezhausen";"9,3"
"08116056";"Plochingen, Stadt";"26,7"
"08119055";"Plüderhausen";"17,2"
"08335063";"Radolfzell am Bodensee, Stadt";"15,4"
"08136089";"Rainau";"5,2"
"08425097";"Rammingen";"10,1"
"08417051";"Rangendingen";"8,7"
"08216043";"Rastatt, Stadt";"26,0"
"08417052";"Ratshausen";"16,6"
"08226065";"Rauenberg, Stadt";"11,6"
"08436064";"Ravensburg, Stadt";"16,8"
"08225114";"Ravenstein, Stadt";"10,1"
"08117038";"Rechberghausen";"10,6"
"08425098";"Rechtenstein";"4,5"
"08226066";"Reichartshausen";"10,0"
"08335066";"Reichenau";"17,3"
"08327040";"Reichenbach am Heuberg";"18,3"
"08116058";"Reichenbach an der Fils";"19,3"
"08226068";"Reilingen";"14,3"
"08236071";"Remchingen";"11,2"
"08118081";"Remseck am Neckar, Stadt";"17,3"
"08119090";"Remshalden";"13,9"
"08317110";"Renchen, Stadt";"11,9"
"08115041";"Renningen, Stadt";"16,5"
"08327041";"Renquishausen";"8,7"
"08316036";"Reute";"6,7"
"08415061";"Reutlingen, Stadt";"22,3"
"08317153";"Rheinau, Stadt";"10,4"
"08317971";"Rheinau, Gemeindefreies Gebiet";"-"
"08336069";"Rheinfelden (Baden), Stadt";"21,2"
"08316053";"Rheinhausen";"14,7"
"08216063";"Rheinmünster";"10,5"
"08215108";"Rheinstetten, Stadt";"13,0"
"08337090";"Rickenbach";"10,5"
"08415062";"Riederich";"15,8"
"08436067";"Riedhausen";"4,3"
"08426097";"Riedlingen, Stadt";"16,7"
"08316037";"Riegel am Kaiserstuhl";"15,3"
"08335100";"Rielasingen-Worblingen";"16,3"
"08136087";"Riesbürg";"9,2"
"08327056";"Rietheim-Weilheim";"12,7"
"08317113";"Ringsheim";"17,1"
"08235060";"Rohrdorf";"19,1"
"08125084";"Roigheim";"22,1"
"08415088";"Römerstein";"8,0"
"08136060";"Rosenberg";"7,0"
"08225082";"Rosenberg";"6,8"
"08417054";"Rosenfeld, Stadt";"12,6"
"08127100";"Rosengarten";"11,0"
"08127071";"Rot am See";"10,5"
"08426100";"Rot an der Rot";"8,0"
"08425104";"Rottenacker";"13,3"
"08416036";"Rottenburg am Neckar, Stadt";"15,7"
"08325049";"Rottweil, Stadt";"18,5"
"08119061";"Rudersberg";"13,0"
"08336073";"Rümmingen";"11,9"
"08136061";"Ruppertshofen";"4,9"
"08317114";"Rust";"33,3"
"08115042";"Rutesheim, Stadt";"14,3"
"08118076";"Sachsenheim, Stadt";"18,6"
"08117042";"Salach";"20,1"
"08435052";"Salem";"13,5"
"08226076";"Sandhausen";"13,4"
"08317116";"Sasbach";"10,6"
"08316038";"Sasbach am Kaiserstuhl";"8,1"
"08317118";"Sasbachwalden";"14,6"
"08127073";"Satteldorf";"9,6"
"08437123";"Sauldorf";"7,4"
"08336075";"Schallbach";"9,8"
"08315098";"Schallstadt";"13,5"
"08136062";"Schechingen";"7,0"
"08437101";"Scheer, Stadt";"13,6"
"08225115";"Schefflenz";"7,9"
"08425108";"Schelklingen, Stadt";"15,8"
"08426134";"Schemmerhofen";"7,4"
"08325050";"Schenkenzell";"9,7"
"08325051";"Schiltach, Stadt";"10,6"
"08116063";"Schlaitdorf";"8,1"
"08117043";"Schlat";"7,6"
"08336078";"Schliengen";"11,5"
"08436069";"Schlier";"8,9"
"08117044";"Schlierbach";"12,3"
"08315102";"Schluchsee";"21,9"
"08425110";"Schnürpflingen";"9,8"
"08235065";"Schömberg";"16,9"
"08417057";"Schömberg, Stadt";"19,3"
"08326055";"Schonach im Schwarzwald";"12,9"
"08115044";"Schönaich";"19,6"
"08336079";"Schönau im Schwarzwald, Stadt";"21,2"
"08226080";"Schönau, Stadt";"14,0"
"08226081";"Schönbrunn";"7,2"
"08336080";"Schönenberg";"0,3"
"08126072";"Schöntal";"9,1"
"08326054";"Schönwald im Schwarzwald";"15,2"
"08336081";"Schopfheim, Stadt";"16,2"
"08237061";"Schopfloch";"6,2"
"08119067";"Schorndorf, Stadt";"18,6"
"08325053";"Schramberg, Stadt";"19,3"
"08226082";"Schriesheim, Stadt";"11,8"
"08127075";"Schrozberg, Stadt";"16,5"
"08317121";"Schuttertal";"6,2"
"08317122";"Schutterwald";"9,4"
"08136065";"Schwäbisch Gmünd, Stadt";"19,8"
"08127076";"Schwäbisch Hall, Stadt";"18,6"
"08125086";"Schwaigern, Stadt";"15,4"
"08119068";"Schwaikheim";"17,7"
"08317150";"Schwanau";"9,8"
"08225116";"Schwarzach";"10,7"
"08426108";"Schwendi";"10,5"
"08437102";"Schwenningen";"8,5"
"08226084";"Schwetzingen, Stadt";"19,8"
"08118067";"Schwieberdingen";"20,8"
"08336082";"Schwörstadt";"17,7"
"08225091";"Seckach";"10,1"
"08317126";"Seebach";"9,5"
"08426109";"Seekirch";"4,2"
"08317127";"Seelbach";"10,4"
"08237073";"Seewald";"8,9"
"08327055";"Seitingen-Oberflacht";"10,5"
"08118068";"Sersheim";"17,2"
"08425112";"Setzingen";"6,1"
"08316039";"Sexau";"9,0"
"08125087";"Siegelsbach";"16,1"
"08437104";"Sigmaringen, Stadt";"18,5"
"08437105";"Sigmaringendorf";"13,6"
"08235066";"Simmersfeld";"7,0"
"08235067";"Simmozheim";"12,3"
"08316042";"Simonswald";"9,7"
"08115045";"Sindelfingen, Stadt";"28,1"
"08335075";"Singen (Hohentwiel), Stadt";"29,3"
"08226085";"Sinsheim, Stadt";"17,2"
"08216049";"Sinzheim";"12,3"
"08435053";"Sipplingen";"10,2"
"08315107";"Sölden";"8,6"
"08415091";"Sonnenbühl";"8,0"
"08135031";"Sontheim an der Brenz";"12,2"
"08327046";"Spaichingen, Stadt";"21,4"
"08226086";"Spechbach";"9,3"
"08119069";"Spiegelberg";"7,9"
"08136066";"Spraitbach";"7,2"
"08337097";"St. Blasien, Stadt";"34,2"
"08326052";"St. Georgen im Schwarzwald, Stadt";"18,9"
"08415093";"St. Johann";"7,4"
"08226103";"St. Leon-Rot";"11,3"
"08315094";"St. Märgen";"9,3"
"08315095";"St. Peter";"9,4"
"08425138";"Staig";"8,2"
"08416050";"Starzach";"8,8"
"08315108";"Staufen im Breisgau, Stadt";"11,5"
"08315109";"Stegen";"8,7"
"08317129";"Steinach";"6,2"
"08336084";"Steinen";"13,0"
"08115046";"Steinenbronn";"23,3"
"08426113";"Steinhausen an der Rottum";"6,9"
"08135032";"Steinheim am Albuch";"11,5"
"08118070";"Steinheim an der Murr, Stadt";"15,3"
"08216052";"Steinmauern";"9,5"
"08335077";"Steißlingen";"10,7"
"08236061";"Sternenfels";"12,9"
"08435054";"Stetten";"14,4"
"08437107";"Stetten am kalten Markt";"8,2"
"08127104";"Stimpfach";"12,2"
"08335079";"Stockach, Stadt";"16,7"
"08136068";"Stödtlen";"4,8"
"08417063";"Straßberg";"7,2"
"08236072";"Straubenhardt";"10,8"
"08337106";"Stühlingen, Stadt";"15,6"
"08215109";"Stutensee, Stadt";"16,7"
"08111000";"Stuttgart, Landeshauptstadt";"27,1"
"08325057";"Sulz am Neckar, Stadt";"16,6"
"08119075";"Sulzbach an der Murr";"19,2"
"08127079";"Sulzbach-Laufen";"7,6"
"08315111";"Sulzburg, Stadt";"13,1"
"08215082";"Sulzfeld";"14,9"
"08117049";"Süßen, Stadt";"19,8"
"08136070";"Täferrot";"7,4"
"08125094";"Talheim";"11,4"
"08327048";"Talheim";"9,3"
"08118071";"Tamm, Stadt";"16,7"
"08136071";"Tannhausen";"6,2"
"08426117";"Tannheim";"10,4"
"08128115";"Tauberbischofsheim, Stadt";"15,2"
"08335080";"Tengen, Stadt";"11,7"
"08316043";"Teningen";"13,1"
"08435057";"Tettnang, Stadt";"14,2"
"08426118";"Tiefenbach";"5,1"
"08236062";"Tiefenbronn";"9,7"
"08315113";"Titisee-Neustadt, Stadt";"21,6"
"08337108";"Todtmoos";"21,0"
"08336087";"Todtnau, Stadt";"17,2"
"08326060";"Triberg im Schwarzwald, Stadt";"26,4"
"08415073";"Trochtelfingen, Stadt";"11,2"
"08327049";"Trossingen, Stadt";"24,5"
"08416041";"Tübingen, Universitätsstadt";"17,3"
"08336089";"Tunau";"3,3"
"08326061";"Tuningen";"12,9"
"08327050";"Tuttlingen, Stadt";"29,5"
"08435059";"Überlingen, Stadt";"14,8"
"08215084";"Ubstadt-Weiher";"10,9"
"08117051";"Uhingen, Stadt";"16,9"
"08435066";"Uhldingen-Mühlhofen";"16,9"
"08337128";"Ühlingen-Birkendorf";"15,3"
"08421000";"Ulm, Universitätsstadt";"23,8"
"08315115";"Umkirch";"17,1"
"08426120";"Ummendorf";"9,9"
"08426121";"Unlingen";"7,3"
"08125096";"Untereisesheim";"14,8"
"08116068";"Unterensingen";"14,5"
"08125098";"Untergruppenbach";"12,5"
"08326065";"Unterkirnach";"17,4"
"08425123";"Untermarchtal";"11,3"
"08127086";"Untermünkheim";"11,1"
"08235073";"Unterreichenbach";"19,5"
"08136075";"Unterschneidheim";"5,3"
"08425124";"Unterstadion";"8,1"
"08425125";"Unterwachingen";"4,2"
"08436077";"Unterwaldhausen";"9,2"
"08119076";"Urbach";"14,3"
"08426124";"Uttenweiler";"7,5"
"08336090";"Utzenfeld";"12,5"
"08118073";"Vaihingen an der Enz, Stadt";"17,8"
"08127089";"Vellberg, Stadt";"9,9"
"08437114";"Veringenstadt, Stadt";"10,5"
"08326074";"Villingen-Schwenningen, Stadt";"25,1"
"08325060";"Villingendorf";"9,8"
"08436078";"Vogt";"12,0"
"08315133";"Vogtsburg im Kaiserstuhl, Stadt";"11,5"
"08326068";"Vöhrenbach, Stadt";"15,7"
"08325061";"Vöhringen";"11,6"
"08335081";"Volkertshausen";"12,9"
"08316045";"Vörstetten";"9,4"
"08215106";"Waghäusel, Stadt";"13,2"
"08119079";"Waiblingen, Stadt";"23,9"
"08226091";"Waibstadt, Stadt";"17,5"
"08426125";"Wain";"13,8"
"08437118";"Wald";"6,9"
"08237074";"Waldachtal";"15,3"
"08215110";"Waldbronn";"14,5"
"08225118";"Waldbrunn";"8,3"
"08436079";"Waldburg";"7,2"
"08415087";"Walddorfhäslach";"7,9"
"08115048";"Waldenbuch, Stadt";"16,7"
"08126085";"Waldenburg, Stadt";"13,9"
"08316056";"Waldkirch, Stadt";"16,6"
"08337126";"Waldshut-Tiengen, Stadt";"24,9"
"08136079";"Waldstetten";"6,2"
"08118074";"Walheim";"15,9"
"08226095";"Walldorf, Stadt";"20,1"
"08225109";"Walldürn, Stadt";"11,6"
"08127091";"Wallhausen";"9,9"
"08215089";"Walzbachtal";"12,5"
"08117055";"Wangen";"8,4"
"08436081";"Wangen im Allgäu, Stadt";"14,1"
"08415080";"Wannweil";"13,0"
"08426128";"Warthausen";"12,5"
"08117053";"Wäschenbeuren";"7,9"
"08327051";"Wehingen";"21,9"
"08337116";"Wehr, Stadt";"17,8"
"08425130";"Weidenstetten";"13,5"
"08128126";"Weikersheim, Stadt";"8,1"
"08336091";"Weil am Rhein, Stadt";"24,6"
"08115050";"Weil der Stadt, Stadt";"16,5"
"08115051";"Weil im Schönbuch";"15,9"
"08417071";"Weilen unter den Rinnen";"7,3"
"08337118";"Weilheim";"6,5"
"08116070";"Weilheim an der Teck, Stadt";"18,3"
"08215090";"Weingarten (Baden)";"12,9"
"08436082";"Weingarten, Stadt";"20,8"
"08226096";"Weinheim, Stadt";"16,6"
"08125102";"Weinsberg, Stadt";"19,4"
"08119091";"Weinstadt, Stadt";"15,6"
"08216059";"Weisenbach";"13,6"
"08115052";"Weissach";"14,4"
"08119083";"Weissach im Tal";"11,4"
"08126086";"Weißbach";"19,1"
"08316049";"Weisweil";"10,8"
"08325064";"Wellendingen";"13,7"
"08119084";"Welzheim, Stadt";"16,6"
"08336094";"Wembach";"13,5"
"08116071";"Wendlingen am Neckar, Stadt";"19,9"
"08128128";"Werbach";"6,4"
"08116072";"Wernau (Neckar), Stadt";"19,0"
"08128131";"Wertheim, Stadt";"16,2"
"08425134";"Westerheim";"8,0"
"08425135";"Westerstetten";"8,2"
"08136082";"Westhausen";"7,1"
"08125103";"Widdern, Stadt";"21,3"
"08336096";"Wieden";"9,2"
"08236065";"Wiernsheim";"10,0"
"08226097";"Wiesenbach";"11,8"
"08117058";"Wiesensteig, Stadt";"20,2"
"08226098";"Wiesloch, Stadt";"18,7"
"08235080";"Wildberg, Stadt";"11,6"
"08436083";"Wilhelmsdorf";"11,0"
"08226099";"Wilhelmsfeld";"11,7"
"08317141";"Willstätt";"13,6"
"08236067";"Wimsheim";"12,1"
"08316055";"Winden im Elztal";"9,8"
"08119085";"Winnenden, Stadt";"20,6"
"08119086";"Winterbach";"11,2"
"08417075";"Winterlingen";"11,0"
"08128137";"Wittighausen";"6,8"
"08336100";"Wittlingen";"8,0"
"08315125";"Wittnau";"8,6"
"08317145";"Wolfach, Stadt";"12,0"
"08436085";"Wolfegg";"8,2"
"08116073";"Wolfschlugen";"12,0"
"08127099";"Wolpertshausen";"15,3"
"08436087";"Wolpertswende";"9,4"
"08237072";"Wörnersberg";"7,6"
"08136084";"Wört";"8,6"
"08236068";"Wurmberg";"8,7"
"08327054";"Wurmlingen";"11,7"
"08125107";"Wüstenrot";"9,2"
"08337127";"Wutach";"6,9"
"08337123";"Wutöschingen";"14,9"
"08316051";"Wyhl am Kaiserstuhl";"11,7"
"08125108";"Zaberfeld";"12,9"
"08215094";"Zaisenhausen";"13,5"
"08317146";"Zell am Harmersbach, Stadt";"11,2"
"08336103";"Zell im Wiesental, Stadt";"23,6"
"08117060";"Zell unter Aichelberg";"9,1"
"08325069";"Zimmern ob Rottweil";"10,5"
"08417078";"Zimmern unter der Burg";"1,7"
"08226101";"Zuzenhausen";"11,4"
"08126094";"Zweiflingen";"9,1"
"08415085";"Zwiefalten";"14,4"
"08225113";"Zwingenberg";"4,7"
