Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08315051";"Heuweiler";"9,8"
"08115022";"Hildrizhausen";"14,5"
"08335035";"Hilzingen";"12,4"
"08315052";"Hinterzarten";"20,4"
"08416018";"Hirrlingen";"9,3"
"08226107";"Hirschberg an der Bergstraße";"10,0"
"08116027";"Hochdorf";"10,2"
"08426058";"Hochdorf";"6,7"
"08337051";"Höchenschwand";"24,0"
"08226032";"Hockenheim, Stadt";"18,5"
"08235035";"Höfen an der Enz";"17,0"
"08317046";"Hofstetten";"5,4"
"08317047";"Hohberg";"9,3"
"08335096";"Hohenfels";"10,1"
"08117031";"Hohenstadt";"8,3"
"08415090";"Hohenstein";"7,0"
"08437053";"Hohentengen";"6,6"
"08337053";"Hohentengen am Hochrhein";"18,6"
"08115024";"Holzgerlingen, Stadt";"15,6"
"08425062";"Holzkirch";"1,9"
"08116029";"Holzmaden";"13,5"
"08225039";"Höpfingen";"8,1"
"08237040";"Horb am Neckar, Stadt";"16,3"
"08315056";"Horben";"8,7"
"08436095";"Horgenzell";"8,4"
"08317051";"Hornberg, Stadt";"21,1"
"08436047";"Hoßkirch";"8,5"
"08225042";"Hüffenhardt";"9,4"
"08326027";"Hüfingen, Stadt";"14,6"
"08216022";"Hügelsheim";"19,2"
"08415039";"Hülben";"10,8"
"08425064";"Hüttisheim";"9,3"
"08136033";"Hüttlingen";"6,0"
"08337059";"Ibach";"12,3"
"08216023";"Iffezheim";"10,0"
"08128058";"Igersheim";"10,3"
"08136034";"Iggingen";"6,2"
"08315059";"Ihringen";"10,9"
"08425137";"Illerkirchberg";"11,3"
"08425066";"Illerrieden";"10,5"
"08236028";"Illingen";"16,8"
"08437056";"Illmensee";"6,3"
"08125046";"Ilsfeld";"16,6"
"08127043";"Ilshofen, Stadt";"11,7"
"08226036";"Ilvesheim";"12,0"
"08327025";"Immendingen";"17,5"
"08435024";"Immenstaad am Bodensee";"15,2"
"08126039";"Ingelfingen, Stadt";"13,4"
"08118077";"Ingersheim";"16,5"
"08426062";"Ingoldingen";"5,6"
"08437059";"Inzigkofen";"7,5"
"08336043";"Inzlingen";"12,9"
"08327027";"Irndorf";"5,3"
"08436049";"Isny im Allgäu, Stadt";"17,6"
"08236030";"Ispringen";"16,9"
"08125047";"Ittlingen";"14,6"
"08125048";"Jagsthausen";"35,0"
"08136035";"Jagstzell";"6,4"
"08337060";"Jestetten";"22,8"
"08115053";"Jettingen";"13,5"
"08417036";"Jungingen";"9,1"
"08119037";"Kaisersbach";"6,9"
"08236074";"Kämpfelbach";"11,7"
"08336045";"Kandern, Stadt";"17,5"
"08426064";"Kanzach";"5,5"
"08317152";"Kappel-Grafenhausen";"14,3"
"08317056";"Kappelrodeck";"10,7"
"08215096";"Karlsbad";"12,5"
"08215103";"Karlsdorf-Neuthard";"14,1"
"08212000";"Karlsruhe, Stadt";"20,8"
"08317057";"Kehl, Stadt";"26,9"
"08236070";"Keltern";"8,1"
"08316020";"Kenzingen, Stadt";"14,5"
"08119093";"Kernen im Remstal";"17,6"
"08226037";"Ketsch";"10,2"
"08236031";"Kieselbronn";"9,8"
"08317059";"Kippenheim";"15,9"
"08125049";"Kirchardt";"18,3"
"08426065";"Kirchberg an der Iller";"15,3"
"08127046";"Kirchberg an der Jagst, Stadt";"13,2"
"08119038";"Kirchberg an der Murr";"12,2"
"08426066";"Kirchdorf an der Iller";"12,2"
"08416022";"Kirchentellinsfurt";"11,2"
"08118040";"Kirchheim am Neckar";"26,0"
"08136037";"Kirchheim am Ries";"8,4"
"08116033";"Kirchheim unter Teck, Stadt";"20,7"
"08315064";"Kirchzarten";"7,5"
"08436052";"Kißlegg";"10,1"
"08336107";"Kleines Wiesental";"6,8"
"08337062";"Klettgau";"15,3"
"08236033";"Knittlingen, Stadt";"17,5"
"08116036";"Kohlberg";"9,5"
"08327030";"Kolbingen";"8,6"
"08116035";"Köngen";"15,6"
"08128061";"Königheim";"5,3"
"08236076";"Königsbach-Stein";"9,8"
"08135025";"Königsbronn";"11,6"
"08436053";"Königseggwald";"6,1"
"08326031";"Königsfeld im Schwarzwald";"7,4"
"08327029";"Königsheim";"13,1"
"08335043";"Konstanz, Universitätsstadt";"17,2"
"08119041";"Korb";"18,2"
"08118080";"Korntal-Münchingen, Stadt";"23,0"
"08118046";"Kornwestheim, Stadt";"26,2"
"08215097";"Kraichtal, Stadt";"12,8"
"08437065";"Krauchenwies";"12,3"
"08126045";"Krautheim, Stadt";"13,4"
"08127101";"Kreßberg";"8,0"
"08435029";"Kressbronn am Bodensee";"13,3"
"08215039";"Kronau";"11,2"
"08117033";"Kuchen";"17,0"
"08128064";"Külsheim, Stadt";"9,8"
"08126046";"Künzelsau, Stadt";"21,9"
"08126047";"Kupferzell";"15,1"
"08216024";"Kuppenheim, Stadt";"13,8"
"08215040";"Kürnbach";"14,5"
"08337125";"Küssaberg";"14,3"
"08416023";"Kusterdingen";"10,6"
"08226038";"Ladenburg, Stadt";"11,9"
"08317065";"Lahr/Schwarzwald, Stadt";"23,8"
"08425071";"Laichingen, Stadt";"20,7"
"08435030";"Langenargen";"9,9"
"08425072";"Langenau, Stadt";"15,4"
"08125113";"Langenbrettach";"9,6"
"08127047";"Langenburg, Stadt";"12,3"
"08426067";"Langenenslingen";"9,1"
"08136038";"Lauchheim, Stadt";"10,2"
"08337065";"Lauchringen";"19,6"
"08128139";"Lauda-Königshofen, Stadt";"13,4"
"08226040";"Laudenbach";"9,5"
"08317068";"Lauf";"5,4"
"08337066";"Laufenburg (Baden), Stadt";"19,8"
"08125056";"Lauffen am Neckar, Stadt";"19,5"
"08426070";"Laupheim, Stadt";"16,4"
"08317067";"Lautenbach";"7,4"
"08425073";"Lauterach";"8,9"
"08325036";"Lauterbach";"15,4"
"08117061";"Lauterstein, Stadt";"12,9"
"08125057";"Lehrensteinsfeld";"6,3"
"08437072";"Leibertingen";"5,5"
"08226041";"Leimen, Stadt";"20,3"
"08116078";"Leinfelden-Echterdingen, Stadt";"21,2"
"08125058";"Leingarten, Stadt";"15,4"
"08136040";"Leinzell";"12,7"
"08116079";"Lenningen";"17,1"
"08315068";"Lenzkirch";"15,7"
"08115028";"Leonberg, Stadt";"24,6"
"08119042";"Leutenbach";"16,1"
"08436055";"Leutkirch im Allgäu, Stadt";"14,5"
"08216028";"Lichtenau, Stadt";"13,7"
"08415092";"Lichtenstein";"20,2"
"08116037";"Lichtenwald";"7,9"
"08225052";"Limbach";"9,3"
"08215105";"Linkenheim-Hochstetten";"14,8"
"08226104";"Lobbach";"8,6"
"08118047";"Löchgau";"15,2"
"08216029";"Loffenau";"12,8"
"08315070";"Löffingen, Stadt";"12,2"
"08425075";"Lonsee";"15,1"
"08136042";"Lorch, Stadt";"14,2"
"08336050";"Lörrach, Stadt";"22,8"
"08237045";"Loßburg";"8,5"
"08337070";"Lottstetten";"27,7"
"08125059";"Löwenstein, Stadt";"13,8"
"08118048";"Ludwigsburg, Stadt";"24,2"
"08115029";"Magstadt";"23,9"
"08317073";"Mahlberg, Stadt";"13,9"
"08327033";"Mahlstetten";"7,8"
"08127052";"Mainhardt";"10,9"
"08336104";"Malsburg-Marzell";"11,3"
"08215046";"Malsch";"15,5"
"08226046";"Malsch";"8,7"
"08316024";"Malterdingen";"13,9"
"08222000";"Mannheim, Universitätsstadt";"27,8"
"08118049";"Marbach am Neckar, Stadt";"18,8"
"08315132";"March";"12,3"
"08435034";"Markdorf, Stadt";"16,1"
"08118050";"Markgröningen, Stadt";"22,7"
"08215047";"Marxzell";"9,3"
"08426071";"Maselheim";"7,4"
"08125061";"Massenbachhausen";"15,3"
"08226048";"Mauer";"9,7"
"08236038";"Maulbronn, Stadt";"17,2"
"08336057";"Maulburg";"15,5"
"08435035";"Meckenbeuren";"11,4"
"08226049";"Meckesheim";"12,8"
"08435036";"Meersburg, Stadt";"21,6"
"08415048";"Mehrstetten";"8,7"
"08317075";"Meißenheim";"12,4"
"08437076";"Mengen, Stadt";"15,1"
"08315072";"Merdingen";"8,8"
"08425079";"Merklingen";"11,4"
"08315073";"Merzhausen";"9,0"
"08437078";"Meßkirch, Stadt";"16,2"
"08417044";"Meßstetten, Stadt";"12,5"
"08415050";"Metzingen, Stadt";"22,0"
"08127056";"Michelbach an der Bilz";"7,9"
"08127059";"Michelfeld";"9,2"
