year,region_code,region_label,series,migration_status,detail,value_thousand
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,18
2021,08127KRSI,"Schwäbisch Hall, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,15
2021,08127KRSI,"Schwäbisch Hall, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,Insgesamt,Insgesamt,130
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,Insgesamt,geschieden,9
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,Insgesamt,ledig,48
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,Insgesamt,verheiratet,62
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,Insgesamt,verwitwet,11
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,30
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,13
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,14
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,9
