year,region_code,region_label,migration_status,age_group,value_thousand
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,16
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,17
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,23
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,17
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,14
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,11
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,Insgesamt,128
2021,08125KRSI,"Heilbronn, Landkreis",mit Migrationshintergrund,unter 15 Jahre,29
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,15 bis unter 25 Jahre,13
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,25 bis unter 35 Jahre,13
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,35 bis unter 45 Jahre,12
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,45 bis unter 55 Jahre,18
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,55 bis unter 65 Jahre,16
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,65 Jahre und mehr,23
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,Insgesamt,110
2021,08126KRSI,"Hohenlohekreis, Landkreis",Insgesamt,unter 15 Jahre,14
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,Insgesamt,33
2021,08126KRSI,"Hohenlohekreis, Landkreis",mit Migrationshintergrund,unter 15 Jahre,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,15 bis unter 25 Jahre,22
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,25 bis unter 35 Jahre,22
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,35 bis unter 45 Jahre,24
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,45 bis unter 55 Jahre,28
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,55 bis unter 65 Jahre,30
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,65 Jahre und mehr,36
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,Insgesamt,190
2021,08127KRSI,"Schwäbisch Hall, Landkreis",Insgesamt,unter 15 Jahre,28
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,8
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,7
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,9
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,9
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,8
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,7
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,Insgesamt,59
2021,08127KRSI,"Schwäbisch Hall, Landkreis",mit Migrationshintergrund,unter 15 Jahre,11
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,15 bis unter 25 Jahre,12
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,25 bis unter 35 Jahre,14
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,35 bis unter 45 Jahre,16
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,45 bis unter 55 Jahre,18
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,55 bis unter 65 Jahre,21
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,65 Jahre und mehr,34
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,Insgesamt,130
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",Insgesamt,unter 15 Jahre,16
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,Insgesamt,30
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",mit Migrationshintergrund,unter 15 Jahre,/
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,15 bis unter 25 Jahre,13
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,25 bis unter 35 Jahre,18
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,35 bis unter 45 Jahre,17
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,45 bis unter 55 Jahre,18
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,55 bis unter 65 Jahre,19
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,65 Jahre und mehr,28
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,Insgesamt,133
2021,08135KRSI,"Heidenheim, Landkreis",Insgesamt,unter 15 Jahre,22
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,6
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,10
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,9
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,6
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,6
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,7
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,Insgesamt,56
2021,08135KRSI,"Heidenheim, Landkreis",mit Migrationshintergrund,unter 15 Jahre,12
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,15 bis unter 25 Jahre,35
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,25 bis unter 35 Jahre,37
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,35 bis unter 45 Jahre,36
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,45 bis unter 55 Jahre,47
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,55 bis unter 65 Jahre,47
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,65 Jahre und mehr,64
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,Insgesamt,311
2021,08136KRSI,"Ostalbkreis, Landkreis",Insgesamt,unter 15 Jahre,44
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,10
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,9
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,11
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,11
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,10
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,11
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,Insgesamt,77
2021,08136KRSI,"Ostalbkreis, Landkreis",mit Migrationshintergrund,unter 15 Jahre,15
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,15 bis unter 25 Jahre,37
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,25 bis unter 35 Jahre,49
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,35 bis unter 45 Jahre,41
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,45 bis unter 55 Jahre,38
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,55 bis unter 65 Jahre,43
