year,region_code,region_label,labour_status,migration_status,education_isced,value_thousand
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,Insgesamt,mittel,91
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,Insgesamt,niedrig,33
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,Insgesamt,75
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,hoch,22
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,mittel,31
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,niedrig,22
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,Insgesamt,128
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,hoch,58
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,mittel,60
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,niedrig,11
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,Insgesamt,Insgesamt,197
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,Insgesamt,hoch,78
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,Insgesamt,mittel,89
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,Insgesamt,niedrig,31
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,Insgesamt,72
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,hoch,21
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,mittel,30
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,niedrig,20
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,Insgesamt,125
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,hoch,56
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,mittel,58
2021,08115KRSI,"Böblingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,niedrig,10
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,Insgesamt,Insgesamt,319
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,Insgesamt,hoch,103
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,Insgesamt,mittel,139
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,Insgesamt,niedrig,77
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,mit Migrationshintergrund,Insgesamt,115
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,mit Migrationshintergrund,hoch,27
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,mit Migrationshintergrund,mittel,43
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,mit Migrationshintergrund,niedrig,45
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,ohne Migrationshintergrund,Insgesamt,204
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,ohne Migrationshintergrund,hoch,76
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,ohne Migrationshintergrund,mittel,96
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,ohne Migrationshintergrund,niedrig,32
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,Insgesamt,Insgesamt,116
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,Insgesamt,hoch,23
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,Insgesamt,mittel,48
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,Insgesamt,niedrig,45
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,Insgesamt,40
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,hoch,/
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,mittel,12
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,niedrig,24
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,Insgesamt,76
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,hoch,18
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,mittel,36
2021,08115KRSI,"Böblingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,niedrig,21
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,Insgesamt,Insgesamt,9
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,Insgesamt,hoch,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,Insgesamt,mittel,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,Insgesamt,niedrig,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,mit Migrationshintergrund,Insgesamt,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,mit Migrationshintergrund,hoch,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,mit Migrationshintergrund,mittel,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,mit Migrationshintergrund,niedrig,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,Insgesamt,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,hoch,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,mittel,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,niedrig,/
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,Insgesamt,Insgesamt,283
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,Insgesamt,hoch,108
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,Insgesamt,mittel,126
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,Insgesamt,niedrig,48
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,Insgesamt,111
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,hoch,30
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,mittel,47
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,niedrig,34
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,Insgesamt,171
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,hoch,78
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,mittel,79
2021,08116KRSI,"Esslingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,niedrig,14
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,Insgesamt,Insgesamt,274
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,Insgesamt,hoch,107
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,Insgesamt,mittel,122
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,Insgesamt,niedrig,44
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,Insgesamt,105
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,hoch,29
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,mittel,45
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,niedrig,31
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,Insgesamt,169
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,hoch,78
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,mittel,77
2021,08116KRSI,"Esslingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,niedrig,14
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,Insgesamt,Insgesamt,445
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,Insgesamt,hoch,144
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,Insgesamt,mittel,193
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,Insgesamt,niedrig,108
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,mit Migrationshintergrund,Insgesamt,166
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,mit Migrationshintergrund,hoch,39
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,mit Migrationshintergrund,mittel,63
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,mit Migrationshintergrund,niedrig,64
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,ohne Migrationshintergrund,Insgesamt,279
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,ohne Migrationshintergrund,hoch,105
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,ohne Migrationshintergrund,mittel,130
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,ohne Migrationshintergrund,niedrig,44
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,Insgesamt,Insgesamt,163
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,Insgesamt,hoch,36
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,Insgesamt,mittel,67
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,Insgesamt,niedrig,60
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,Insgesamt,55
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,hoch,9
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,mittel,15
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,niedrig,31
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,Insgesamt,108
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,hoch,27
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,mittel,51
2021,08116KRSI,"Esslingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,niedrig,29
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,Insgesamt,Insgesamt,7
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,Insgesamt,hoch,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,Insgesamt,mittel,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,Insgesamt,niedrig,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,mit Migrationshintergrund,Insgesamt,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,mit Migrationshintergrund,hoch,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,mit Migrationshintergrund,mittel,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,mit Migrationshintergrund,niedrig,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,Insgesamt,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,hoch,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,mittel,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,niedrig,/
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,Insgesamt,Insgesamt,135
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,Insgesamt,hoch,34
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,Insgesamt,mittel,75
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,Insgesamt,niedrig,26
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,Insgesamt,54
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,hoch,9
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,mittel,28
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,mit Migrationshintergrund,niedrig,17
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,Insgesamt,81
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,hoch,25
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,mittel,47
2021,08117KRSI,"Göppingen, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,niedrig,9
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,Insgesamt,Insgesamt,129
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,Insgesamt,hoch,33
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,Insgesamt,mittel,72
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,Insgesamt,niedrig,24
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,Insgesamt,51
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,hoch,8
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,mittel,27
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,mit Migrationshintergrund,niedrig,16
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,Insgesamt,78
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,hoch,25
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,mittel,45
2021,08117KRSI,"Göppingen, Landkreis",Erwerbstätige,ohne Migrationshintergrund,niedrig,8
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,Insgesamt,Insgesamt,219
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,Insgesamt,hoch,45
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,Insgesamt,mittel,116
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,Insgesamt,niedrig,58
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,mit Migrationshintergrund,Insgesamt,83
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,mit Migrationshintergrund,hoch,12
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,mit Migrationshintergrund,mittel,37
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,mit Migrationshintergrund,niedrig,34
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,ohne Migrationshintergrund,Insgesamt,136
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,ohne Migrationshintergrund,hoch,33
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,ohne Migrationshintergrund,mittel,79
2021,08117KRSI,"Göppingen, Landkreis",Insgesamt,ohne Migrationshintergrund,niedrig,24
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,Insgesamt,Insgesamt,84
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,Insgesamt,hoch,11
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,Insgesamt,mittel,41
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,Insgesamt,niedrig,32
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,Insgesamt,29
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,hoch,/
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,mittel,9
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,mit Migrationshintergrund,niedrig,17
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,Insgesamt,55
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,hoch,8
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,mittel,32
2021,08117KRSI,"Göppingen, Landkreis",Nichterwerbspersonen,ohne Migrationshintergrund,niedrig,15
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,Insgesamt,Insgesamt,9
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,Insgesamt,hoch,/
